Date,Open,High,Low,Close,Volume,Adjusted
2020/3/9,195.619995117188,199.889999389648,193.929992675781,197.660003662109,25502600,190.88948059082
2020/3/10,205.529998779297,207.449996948242,200.800003051758,206.389999389648,19022600,199.320449829102
2020/3/11,201.649993896484,203.100006103516,196.110000610352,198.910003662109,18908200,192.096664428711
2020/3/12,186.5,190.486999511719,183.929992675781,185.100006103516,30247100,178.759704589844
2020/3/13,194.899993896484,195.990005493164,187.809997558594,194,23650500,187.354843139648
2020/3/16,176.149993896484,188,174.5,178.850006103516,26628500,172.723785400391
2020/3/17,181.259994506836,189.389999389648,179.690002441406,184.809997558594,19276500,178.479629516602
2020/3/18,176,182.410003662109,170,180,22054200,173.834381103516
2020/3/19,179.259994506836,187.25,177.389999389648,180.880004882812,20905700,174.68424987793
2020/3/20,187.740005493164,188.300003051758,180,181.300003051758,21006100,175.089859008789
2020/3/23,175.270004272461,178.5,169.949996948242,176.339996337891,22554700,170.299758911133
2020/3/24,183.089996337891,188.800003051758,181.179992675781,185.75,20801500,179.387435913086
2020/3/25,185.820007324219,195.190002441406,184.514999389648,188.559997558594,19605200,182.101181030273
2020/3/26,188.639999389648,196.320007324219,187.600006103516,195.320007324219,15416800,188.629638671875
2020/3/27,189.970001220703,192.740005493164,188,188.589996337891,13376400,182.130157470703
2020/3/30,187.479995727539,191.479995727539,187.009994506836,191.270004272461,12254400,184.718353271484
2020/3/31,192,196.789993286133,190.600006103516,194.479995727539,19084800,187.818405151367
2020/4/1,189.5,192.869995117188,185.039993286133,187.559997558594,17948600,181.13542175293
2020/4/2,186.080001831055,191.300003051758,185.692001342773,188.899993896484,13412100,182.429534912109
2020/4/3,190.119995117188,190.550003051758,185.410003662109,187.110000610352,9483100,180.70085144043
2020/4/6,194.740005493164,196.880004882812,192.699996948242,196.449996948242,13248700,189.720916748047
2020/4/7,200.050003051758,201.449996948242,197.050003051758,198,14934500,191.217834472656
2020/4/8,198.339996337891,198.860000610352,193.884002685547,195.979995727539,13608000,189.267013549805
2020/4/9,198.649993896484,200.350006103516,193.399993896484,196.369995117188,17821300,189.643661499023
2020/4/13,197.399993896484,200.324996948242,195.529998779297,199.440002441406,16117900,192.608505249023
2020/4/14,204.949996948242,207.970001220703,204.25,204.779998779297,16757100,197.765594482422
2020/4/15,204.770004272461,209.149993896484,201.309997558594,208.169998168945,10768100,201.039474487305
2020/4/16,210.529998779297,213.25,209.119995117188,212.660003662109,16353800,205.375671386719
2020/4/17,214.979995727539,214.979995727539,208.850997924805,209.5,13558500,202.323913574219
2020/4/20,209.869995117188,216.100006103516,209.360000610352,212.130004882812,19295400,204.863830566406
2020/4/21,209.899993896484,212.130004882812,205.029998779297,207.339996337891,14107600,200.237899780273
2020/4/22,212,212,209.210006713867,209.960006713867,13471100,202.768157958984
2020/4/23,210.240005493164,210.559997558594,203.460006713867,205.240005493164,20424000,198.209838867188
2020/4/24,205.889999389648,206.5,202.820007324219,204.360000610352,14673900,197.359970092773
2020/4/27,207.550003051758,207.779998779297,202.029998779297,203.690002441406,17286800,196.712936401367
2020/4/28,204.809997558594,205.190002441406,199.406997680664,201.149993896484,17203800,194.25993347168
2020/4/29,202.929992675781,207.080001831055,202.509994506836,206.699996948242,19117800,199.619827270508
2020/4/30,206.25,206.699996948242,199.289993286133,202.669998168945,20107400,195.72785949707
2020/5/1,195.75,197.380004882812,192.860000610352,194.479995727539,22276200,187.818405151367
